disease,expected_document,valid,std_ndcg@10,hyde_ndcg@10,std_hit_rate,hyde_hit_rate,std_exact_match,hyde_exact_match,std_rouge_l,hyde_rouge_l,std_faithfulness,hyde_faithfulness
Tuberculosis,Tuberculosis.pdf,True,0.0,0.0,0,0,1,1,0.0639,0.0583,0.1148,0.1446
Dengue,Dengue.pdf,True,0.5,0.906,1,1,1,1,0.0621,0.0643,0.1038,0.1496
Asthma,Asthma.pdf,True,0.0,0.3869,0,1,1,1,0.0458,0.0549,0.1591,0.1891
COPD,COPD.pdf,True,1.0,1.0,1,1,1,1,0.0441,0.0576,0.1367,0.1512
Diabetes,Diabetes.pdf,True,0.0,0.4307,0,1,1,1,0.0712,0.1092,0.0526,0.0964
Heart Failure,Heart Failure.pdf,True,0.0,0.0,0,0,1,1,0.0451,0.0467,0.0827,0.2151
Stroke,Stroke.pdf,True,0.0,0.0,0,0,1,1,0.0479,0.0504,0.0735,0.1015
Malaria,Malaria.pdf,True,0.5,1.0,1,1,1,1,0.0659,0.0682,0.1298,0.1928
COVID-19,COVID-19.pdf,True,0.0,1.0,0,1,1,1,0.0562,0.0791,0.1011,0.1322
HIV,HIV.pdf,True,0.3869,0.7123,1,1,1,1,0.0465,0.0554,0.1404,0.1267
